2018-06-02 07:35:24 startup archives unpack
2018-06-02 07:35:33 upgrade snapd:amd64 2.32.3.2 2.32.9
2018-06-02 07:35:33 status half-configured snapd:amd64 2.32.3.2
2018-06-02 07:35:34 status unpacked snapd:amd64 2.32.3.2
2018-06-02 07:35:34 status half-installed snapd:amd64 2.32.3.2
2018-06-02 07:35:34 status triggers-pending man-db:amd64 2.7.5-1
2018-06-02 07:35:36 status half-installed snapd:amd64 2.32.3.2
2018-06-02 07:35:39 status unpacked snapd:amd64 2.32.9
2018-06-02 07:35:39 status unpacked snapd:amd64 2.32.9
2018-06-02 07:35:39 trigproc man-db:amd64 2.7.5-1 <none>
2018-06-02 07:35:39 status half-configured man-db:amd64 2.7.5-1
2018-06-02 07:35:41 status installed man-db:amd64 2.7.5-1
2018-06-02 07:35:42 startup packages configure
2018-06-02 07:35:42 configure snapd:amd64 2.32.9 <none>
2018-06-02 07:35:42 status unpacked snapd:amd64 2.32.9
2018-06-02 07:35:42 status unpacked snapd:amd64 2.32.9
2018-06-02 07:35:42 status unpacked snapd:amd64 2.32.9
2018-06-02 07:35:42 status unpacked snapd:amd64 2.32.9
2018-06-02 07:35:42 status half-configured snapd:amd64 2.32.9
2018-06-02 07:35:49 status installed snapd:amd64 2.32.9
2018-06-02 07:35:50 startup packages configure
2018-06-05 06:21:41 startup archives unpack
2018-06-05 06:21:42 upgrade libexempi3:amd64 2.2.2-2 2.2.2-2ubuntu0.1
2018-06-05 06:21:42 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-05 06:21:42 status half-configured libexempi3:amd64 2.2.2-2
2018-06-05 06:21:42 status unpacked libexempi3:amd64 2.2.2-2
2018-06-05 06:21:42 status half-installed libexempi3:amd64 2.2.2-2
2018-06-05 06:21:42 status half-installed libexempi3:amd64 2.2.2-2
2018-06-05 06:21:42 status unpacked libexempi3:amd64 2.2.2-2ubuntu0.1
2018-06-05 06:21:42 status unpacked libexempi3:amd64 2.2.2-2ubuntu0.1
2018-06-05 06:21:43 upgrade liblouis-data:all 2.6.4-2ubuntu0.1 2.6.4-2ubuntu0.2
2018-06-05 06:21:43 status half-configured liblouis-data:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:43 status unpacked liblouis-data:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:43 status half-installed liblouis-data:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:43 status half-installed liblouis-data:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:43 status unpacked liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:43 status unpacked liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:43 upgrade liblouis9:amd64 2.6.4-2ubuntu0.1 2.6.4-2ubuntu0.2
2018-06-05 06:21:43 status half-configured liblouis9:amd64 2.6.4-2ubuntu0.1
2018-06-05 06:21:44 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.1
2018-06-05 06:21:44 status half-installed liblouis9:amd64 2.6.4-2ubuntu0.1
2018-06-05 06:21:44 status half-installed liblouis9:amd64 2.6.4-2ubuntu0.1
2018-06-05 06:21:44 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-05 06:21:44 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-05 06:21:44 upgrade python3-louis:all 2.6.4-2ubuntu0.1 2.6.4-2ubuntu0.2
2018-06-05 06:21:44 status half-configured python3-louis:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:45 status unpacked python3-louis:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:45 status half-installed python3-louis:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:45 status half-installed python3-louis:all 2.6.4-2ubuntu0.1
2018-06-05 06:21:45 status unpacked python3-louis:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:45 status unpacked python3-louis:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:45 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-05 06:21:45 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-05 06:21:46 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-05 06:21:46 startup packages configure
2018-06-05 06:21:46 configure libexempi3:amd64 2.2.2-2ubuntu0.1 <none>
2018-06-05 06:21:46 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-05 06:21:46 status unpacked libexempi3:amd64 2.2.2-2ubuntu0.1
2018-06-05 06:21:46 status half-configured libexempi3:amd64 2.2.2-2ubuntu0.1
2018-06-05 06:21:46 status installed libexempi3:amd64 2.2.2-2ubuntu0.1
2018-06-05 06:21:46 configure liblouis-data:all 2.6.4-2ubuntu0.2 <none>
2018-06-05 06:21:46 status unpacked liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:46 status half-configured liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:46 status installed liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:46 configure liblouis9:amd64 2.6.4-2ubuntu0.2 <none>
2018-06-05 06:21:46 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-05 06:21:46 status half-configured liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-05 06:21:46 status installed liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-05 06:21:46 configure python3-louis:all 2.6.4-2ubuntu0.2 <none>
2018-06-05 06:21:46 status unpacked python3-louis:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:47 status half-configured python3-louis:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:47 status installed python3-louis:all 2.6.4-2ubuntu0.2
2018-06-05 06:21:47 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-05 06:21:47 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-05 06:21:47 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-05 06:21:47 startup packages configure
2018-06-06 06:20:15 startup archives unpack
2018-06-06 06:20:16 upgrade libelf1:amd64 0.165-3ubuntu1 0.165-3ubuntu1.1
2018-06-06 06:20:16 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:16 status half-configured libelf1:amd64 0.165-3ubuntu1
2018-06-06 06:20:16 status unpacked libelf1:amd64 0.165-3ubuntu1
2018-06-06 06:20:16 status half-installed libelf1:amd64 0.165-3ubuntu1
2018-06-06 06:20:16 status half-installed libelf1:amd64 0.165-3ubuntu1
2018-06-06 06:20:16 status unpacked libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:16 status unpacked libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:17 upgrade git-svn:all 1:2.7.4-0ubuntu1.3 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:17 status half-configured git-svn:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:17 status unpacked git-svn:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:17 status half-installed git-svn:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:17 status triggers-pending man-db:amd64 2.7.5-1
2018-06-06 06:20:17 status half-installed git-svn:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:17 status unpacked git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:18 status unpacked git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:18 upgrade git-man:all 1:2.7.4-0ubuntu1.3 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:18 status half-configured git-man:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:18 status unpacked git-man:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:18 status half-installed git-man:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:18 status half-installed git-man:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:18 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:18 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:19 upgrade git:amd64 1:2.7.4-0ubuntu1.3 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:19 status half-configured git:amd64 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:19 status unpacked git:amd64 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:19 status half-installed git:amd64 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:20 status half-installed git:amd64 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:20 status unpacked git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:20 status unpacked git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:20 upgrade git-core:all 1:2.7.4-0ubuntu1.3 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:20 status half-configured git-core:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:20 status unpacked git-core:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:20 status half-installed git-core:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:20 status half-installed git-core:all 1:2.7.4-0ubuntu1.3
2018-06-06 06:20:21 status unpacked git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:21 status unpacked git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:21 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-06 06:20:21 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:21 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:21 trigproc man-db:amd64 2.7.5-1 <none>
2018-06-06 06:20:21 status half-configured man-db:amd64 2.7.5-1
2018-06-06 06:20:24 status installed man-db:amd64 2.7.5-1
2018-06-06 06:20:24 startup packages configure
2018-06-06 06:20:24 configure libelf1:amd64 0.165-3ubuntu1.1 <none>
2018-06-06 06:20:24 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:24 status unpacked libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:24 status half-configured libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:24 status installed libelf1:amd64 0.165-3ubuntu1.1
2018-06-06 06:20:24 configure git-man:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status half-configured git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status installed git-man:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 configure git:amd64 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status unpacked git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status half-configured git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status installed git:amd64 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 configure git-svn:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status half-configured git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 status installed git-svn:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:24 configure git-core:all 1:2.7.4-0ubuntu1.4 <none>
2018-06-06 06:20:24 status unpacked git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:25 status half-configured git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:25 status installed git-core:all 1:2.7.4-0ubuntu1.4
2018-06-06 06:20:25 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-06-06 06:20:25 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:25 status installed libc-bin:amd64 2.23-0ubuntu10
2018-06-06 06:20:25 startup packages configure
2018-06-07 06:58:22 startup archives unpack
2018-06-07 06:58:23 upgrade liblouis-data:all 2.6.4-2ubuntu0.2 2.6.4-2ubuntu0.3
2018-06-07 06:58:23 status half-configured liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status unpacked liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status half-installed liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status half-installed liblouis-data:all 2.6.4-2ubuntu0.2
2018-06-07 06:58:23 status unpacked liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:23 status unpacked liblouis-data:all 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 upgrade liblouis9:amd64 2.6.4-2ubuntu0.2 2.6.4-2ubuntu0.3
2018-06-07 06:58:24 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-06-07 06:58:24 status half-configured liblouis9:amd64 2.6.4-2ubuntu0.2
2018-06-07 06:58:24 status unpacked liblouis9:amd64 2.6.4-2ubuntu0.2
