/usr/share/fonts: skipping, existing cache is valid: 0 fonts, 8 dirs
/usr/share/fonts/X11: skipping, existing cache is valid: 0 fonts, 5 dirs
/usr/share/fonts/X11/100dpi: skipping, existing cache is valid: 358 fonts, 0 dirs
/usr/share/fonts/X11/Type1: skipping, existing cache is valid: 116 fonts, 0 dirs
/usr/share/fonts/X11/encodings: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/X11/encodings/large: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/X11/misc: skipping, existing cache is valid: 59 fonts, 0 dirs
/usr/share/fonts/X11/util: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap: skipping, existing cache is valid: 0 fonts, 5 dirs
/usr/share/fonts/cmap/adobe-cns1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-gb1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-japan1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-japan2: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/cmap/adobe-korea1: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/eot: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/eot/font-awesome: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/opentype: skipping, existing cache is valid: 0 fonts, 17 dirs
/usr/share/fonts/opentype/cabin: skipping, existing cache is valid: 8 fonts, 0 dirs
/usr/share/fonts/opentype/cantarell: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/opentype/ebgaramond: skipping, existing cache is valid: 7 fonts, 0 dirs
/usr/share/fonts/opentype/font-awesome: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/opentype/fonts-hosny-amiri: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/opentype/freefont: skipping, existing cache is valid: 12 fonts, 0 dirs
/usr/share/fonts/opentype/gentiumplus: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/opentype/ipaexfont-gothic: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/opentype/ipaexfont-mincho: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/opentype/ipafont-gothic: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/opentype/ipafont-mincho: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/opentype/linux-libertine: skipping, existing cache is valid: 13 fonts, 0 dirs
/usr/share/fonts/opentype/lobster: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/opentype/lobstertwo: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/opentype/noto: skipping, existing cache is valid: 36 fonts, 0 dirs
/usr/share/fonts/opentype/stix: skipping, existing cache is valid: 29 fonts, 0 dirs
/usr/share/fonts/opentype/stix-word: skipping, existing cache is valid: 5 fonts, 0 dirs
/usr/share/fonts/svg: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/svg/font-awesome: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/truetype: skipping, existing cache is valid: 2 fonts, 46 dirs
/usr/share/fonts/truetype/abyssinica: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/adf: skipping, existing cache is valid: 36 fonts, 0 dirs
/usr/share/fonts/truetype/ancient-scripts: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/artemisia: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/asana-math: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/baskerville: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/bodoni-classic: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/comfortaa: skipping, existing cache is valid: 3 fonts, 0 dirs
/usr/share/fonts/truetype/complutum: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/crosextra: skipping, existing cache is valid: 8 fonts, 0 dirs
/usr/share/fonts/truetype/dejavu: skipping, existing cache is valid: 21 fonts, 0 dirs
/usr/share/fonts/truetype/didot: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/didot-classic: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/ebgaramond: skipping, existing cache is valid: 8 fonts, 0 dirs
/usr/share/fonts/truetype/font-awesome: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/fonts-guru-extra: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/freefont: skipping, existing cache is valid: 12 fonts, 0 dirs
/usr/share/fonts/truetype/gazis: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/gentium: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/gentium-basic: skipping, existing cache is valid: 8 fonts, 0 dirs
/usr/share/fonts/truetype/junicode: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/kacst: skipping, existing cache is valid: 15 fonts, 0 dirs
/usr/share/fonts/truetype/kacst-one: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/lao: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/lato: skipping, existing cache is valid: 18 fonts, 0 dirs
/usr/share/fonts/truetype/liberation: skipping, existing cache is valid: 16 fonts, 0 dirs
/usr/share/fonts/truetype/lohit-punjabi: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/lyx: skipping, existing cache is valid: 11 fonts, 0 dirs
/usr/share/fonts/truetype/msttcorefonts: skipping, existing cache is valid: 0 fonts, 0 dirs
/usr/share/fonts/truetype/nanum: skipping, existing cache is valid: 6 fonts, 0 dirs
/usr/share/fonts/truetype/neohellenic: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/noto: skipping, existing cache is valid: 108 fonts, 0 dirs
/usr/share/fonts/truetype/olga: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/openoffice: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/padauk: skipping, existing cache is valid: 4 fonts, 0 dirs
/usr/share/fonts/truetype/porson: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/roboto: skipping, existing cache is valid: 0 fonts, 1 dirs
/usr/share/fonts/truetype/roboto/hinted: skipping, existing cache is valid: 18 fonts, 0 dirs
/usr/share/fonts/truetype/sinhala: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/solomos: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/takao-gothic: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/theokritos: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/tibetan-machine: skipping, existing cache is valid: 1 fonts, 0 dirs
/usr/share/fonts/truetype/tlwg: skipping, existing cache is valid: 58 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-bitstream-vera: skipping, existing cache is valid: 10 fonts, 0 dirs
/usr/share/fonts/truetype/ttf-khmeros-core: skipping, existing cache is valid: 2 fonts, 0 dirs
/usr/share/fonts/truetype/ubuntu-font-family: skipping, existing cache is valid: 13 fonts, 0 dirs
